ward,date_diff,case_status
4,3000,Closed
17,109186000,Closed
19,1000,Closed
20,1000,Closed
16,2000,Closed
20,1000,Closed
11,1000,Closed
2,103347000,Closed
8,252446000,Closed
2,8485000,Closed
17,1000,Closed
6,101511000,Closed
17,2000,Closed
18,1000,Closed
20,2000,Closed
9,2000,Closed
4,1169000,Closed
18,102265000,Closed
2,6649975000,Closed
18,2000,Closed
20,1000,Closed
3,19610706000,Closed
19,89860000,Closed
20,1000,Closed
12,266813000,Closed
8,89812000,Closed
5,20834000,Closed
3,61627000,Closed
3,73053000,Closed
3,2000,Closed
1,1000,Closed
20,1000,Closed
22,79634000,Closed
8,110544000,Closed
20,1000,Closed
3,108451000,Closed
11,6077000,Closed
13,563992000,Closed
20,8154000,Closed
14,3377000,Closed
15,1000,Closed
19,1000,Closed
18,75732000,Closed
20,1000,Closed
8,1000,Closed
7,19281051000,Closed
12,8000,Closed
21,261491000,Closed
6,1000,Closed
19,1000,Closed
17,1000,Closed
14,1000,Closed
21,146000,Closed
20,21557000,Closed
1,1000,Closed
1,416000,Closed
20,1355000,Closed
8,2629000,Closed
2,96395000,Closed
5,54045000,Closed
3,1000,Closed
3,187379000,Closed
3,852923000,Closed
19,74334000,Closed
21,49810000,Closed
3,65424000,Closed
4,257568000,Closed
22,180000,Closed
7,1000,Closed
14,1000,Closed
18,4951000,Closed
5,58704000,Closed
22,347592000,Closed
18,1000,Closed
20,13000,Closed
9,13955000,Closed
11,1000,Closed
20,1000,Closed
18,1000,Closed
19,1000,Closed
2,340392000,Closed
21,1724000,Closed
8,1000,Closed
20,262503000,Closed
17,1000,Closed
3,2000,Closed
5,162336000,Closed
11,1000,Closed
18,1000,Closed
2,74110000,Closed
12,1000,Closed
17,1000,Closed
2,168414000,Closed
4,84630000,Closed
2,14965000,Closed
6,150102000,Closed
20,1000,Closed
21,162030000,Closed
18,1000,Closed
14,97202000,Closed
17,1000,Closed
3,87176000,Closed
20,1000,Closed
3,1366000,Closed
12,1398760000,Closed
16,437414000,Closed
4,1000,Closed
18,11085000,Closed
11,1000,Closed
4,1487662000,Closed
1,181384000,Closed
21,7000,Closed
17,154213000,Closed
20,2000,Closed
19,9846000,Closed
6,1000,Closed
7,287716000,Closed
11,1000,Closed
4,1000,Closed
4,96016000,Closed
12,1000,Closed
20,2000,Closed
20,2000,Closed
20,1595000,Closed
20,1000,Closed
5,101521000,Closed
1,1000,Closed
17,173340000,Closed
16,1000,Closed
9,1000,Closed
5,1468701000,Closed
3,433792000,Closed
20,20622000,Closed
11,1000,Closed
14,5000,Closed
20,5321000,Closed
14,1000,Closed
12,1000,Closed
12,1000,Closed
10,2706000,Closed
13,1000,Closed
3,158099000,Closed
18,1000,Closed
19,3186000,Closed
2,1000,Closed
3,3551000,Closed
18,23856000,Closed
7,95150000,Closed
20,110449000,Closed
2,86378000,Closed
19,1000,Closed
5,10200000,Closed
11,1000,Closed
5,171830000,Closed
4,1000,Closed
14,5542000,Closed
5,1000,Closed
16,97619000,Closed
8,52174000,Closed
5,160598000,Closed
18,2000,Closed
14,1000,Closed
2,857000,Closed
4,135787000,Closed
20,1000,Closed
18,302764000,Closed
5,178381000,Closed
1,1000,Closed
3,1000,Closed
22,3000,Closed
19,1000,Closed
1,1000,Closed
14,251000,Closed
2,427461000,Closed
13,15013000,Closed
21,9000,Closed
22,1000,Closed
11,1000,Closed
4,1603000,Closed
5,7000,Closed
20,1000,Closed
18,1000,Closed
18,1000,Closed
1,1000,Closed
2,112089000,Closed
6,2000,Closed
2,349640000,Closed
17,1000,Closed
22,804000,Closed
14,16721000,Closed
4,2000,Closed
5,341587000,Closed
4,6000,Closed
10,13480000,Closed
3,35000,Closed
18,2760000,Closed
7,3236221000,Closed
14,4994000,Closed
1,56732000,Closed
16,41127000,Closed
14,2631000,Closed
1,1000,Closed
13,1000,Closed
13,1000,Closed
4,389933000,Closed
20,1000,Closed
4,339701000,Closed
18,1000,Closed
20,1000,Closed
4,3273239000,Closed
3,68277000,Closed
14,1000,Closed
18,274000,Closed
12,177826000,Closed
19,1000,Closed
14,1000,Closed
16,60703000,Closed
20,1000,Closed
17,1000,Closed
1,2000,Closed
18,97372000,Closed
5,119699000,Closed
17,18000,Closed
19,1000,Closed
19,89513000,Closed
9,5000,Closed
9,1000,Closed
22,68422000,Closed
5,87156000,Closed
4,234506000,Closed
20,1000,Closed
2,2000,Closed
6,1000,Closed
4,167968000,Closed
18,160191000,Closed
20,226455000,Closed
5,93791000,Closed
3,316457000,Closed
20,90200000,Closed
2,105922000,Closed
20,173378000,Closed
20,1000,Closed
3,203624000,Closed
18,19009000,Closed
14,9264000,Closed
5,1000,Closed
17,1000,Closed
8,5897000,Closed
20,1000,Closed
5,24882000,Closed
21,5000,Closed
5,191682000,Closed
18,1000,Closed
21,5000,Closed
9,1000,Closed
1,35805843000,Closed
20,36144000,Closed
21,26698000,Closed
14,1000,Closed
14,26881000,Closed
20,1000,Closed
17,1000,Closed
11,1000,Closed
6,26415000,Closed
10,162688000,Closed
18,3000,Closed
15,1000,Closed
18,1000,Closed
6,281070000,Closed
20,6000,Closed
6,203839000,Closed
3,93216000,Closed
15,1000,Closed
20,1000,Closed
13,1000,Closed
18,1000,Closed
20,23045000,Closed
8,178270000,Closed
4,903000,Closed
8,1662765000,Closed
14,825000,Closed
9,1000,Closed
6,1000,Closed
18,16984000,Closed
3,50424000,Closed
7,78020000,Closed
5,349729000,Closed
13,1000,Closed
10,18222000,Closed
2,1000,Closed
19,1000,Closed
4,1000,Closed
20,104378000,Closed
11,1000,Closed
20,1000,Closed
20,1000,Closed
5,3000,Closed
16,2000,Closed
5,242971000,Closed
1,1000,Closed
16,87664000,Closed
13,180302000,Closed
18,2000,Closed
19,1000,Closed
6,1802000,Closed
